"Action","Input","Expected result","Group"
"<p>Projects Page</p>","","<p>Should have:-</p><ol><li>Header </li><li>Drop-down menu for billing type with following options:-</li><li class=&quotql-indent-1&quot>Fixed rate</li><li class=&quotql-indent-1&quot>Project hours</li><li class=&quotql-indent-1&quot>Task hours</li><li>Drop-down menu for status type with following options:-</li><li class=&quotql-indent-1&quot>Cancelled</li><li class=&quotql-indent-1&quot>Finished</li><li class=&quotql-indent-1&quot>In progress</li><li class=&quotql-indent-1&quot>Add project button</li><li>Search bar</li><li>Status icon for:-</li><li class=&quotql-indent-1&quot>Not started</li><li class=&quotql-indent-1&quot>In progress</li><li class=&quotql-indent-1&quot>On hold </li><li class=&quotql-indent-1&quot>Cancelled</li><li class=&quotql-indent-1&quot>Finished</li><li>List of projects</li></ol>","Projects section"
"<p>Add project button</p>","","<p>Should redirect to New project page</p>","Add project module"
"<p>New project page</p>","","<p>Should have:-</p><ol><li>Project name input field</li><li>Customers menu field</li><li>Contacts menu field</li><li>Members menu field</li><li>Checkbox for calculating progress</li><li>Slider bar for progress</li><li>Billing type menu field</li><li>Status menu field</li><li>Estimated hours input field</li><li>Start date calendar input field</li><li>Deadline calendar input field</li><li>Tags menu add/input field</li><li>Description field</li><li>Checkbox for send email option</li><li>Save button</li><li>Cancel button</li></ol>","Add project module"
"<p>Project Name</p>","<p>Sample new project</p>","<p>Must be a mandatory input field</p>","Add project page"
"<p>Customers</p>","<p>Rajesh Hamal</p>","<ol><li>Must be a mandatory drop-down menu field</li><li>Options should include all the lists of existing customers</li></ol>","Add project page"
"<p>Contacts</p>","<p>9898989898</p>","<ol><li>Must be a mandatory drop-down menu field</li><li>Options should include all the lists of existing contacts</li></ol>","Add project page"
"<p>Members</p>","<p>Sachin Shrestha</p>","<ol><li>Must be a mandatory drop-down menu field</li><li>Options should include all the lists of existing members</li></ol>","Add project page"
"<p>Progress calculator checkbox</p>","<p>(Checked)</p>","<ol><li>Progress slider should be enabled upon unchecked</li><li>Progress slider should be disabled upon checked</li></ol>","Add project page"
"<p>Billing type </p>","<p>Fixed Rates</p>","<ol><li>Must be a mandatory drop-down menu field</li><li>Options :-</li><li class=&quotql-indent-1&quot>Fixed rate</li><li class=&quotql-indent-1&quot>Project hours</li><li class=&quotql-indent-1&quot>Task hours</li></ol>","Add project page"
"<p>Status</p>","<p>In Progress</p>","<ol><li>Must be a mandatory drop-down menu field</li><li>Options :-</li><li class=&quotql-indent-1&quot>Cancelled</li><li class=&quotql-indent-1&quot>Finished</li><li class=&quotql-indent-1&quot>In Progress</li><li class=&quotql-indent-1&quot>Not Started</li></ol>","Add project page"
"<p>Estimated Hour</p>","<p>5 Hour</p>","<ol><li>Must accept numerical values only</li></ol>","Add project page"
"<p>Start Date</p>","<p>2024-02-01</p>","<ol><li>Calendar should popup</li><li>Should be a mandatory input field</li><li>Selected date should be shown inside input field</li></ol>","Add project page"
"<p>End Date</p>","<p>2024-02-02</p>","<ol><li>Calendar should popup</li><li>Selected date should be shown inside input field</li><li>Should be a mandatory input field</li></ol>","Add project page"
"<p>Tags</p>","<p>Bug</p>","<ol><li>Must have multiple options</li><li>Must have option to create a new tag</li></ol>","Add project page"
"<p>Description </p>","<p>Test project 1234</p>","<ol><li>Must accept all the characters</li><li>Must have all the essential functionalities like </li><li class=&quotql-indent-1&quot>Text Bold</li><li class=&quotql-indent-1&quot>Text Italic</li><li class=&quotql-indent-1&quot>Text Underline</li><li class=&quotql-indent-1&quot>Text Strikethrough</li></ol><p><br></p>","Add project page"
"<p>Save button</p>","","<ol><li>Should show a successful project created popup</li></ol>","Add project page"
"<p>Cancel button</p>","","<ol><li>Must show a cancellation conformation popup</li><li>Must redirect to project page</li></ol>","Add project page"
